name,abbrv,color,coauthored
Duong Phan,D. Phan,#ffff00,0
Cezara Dragoi,C. Dragoi,#00bfff,0
Jean Ponce,J. Ponce,#32CD32,1
Josef Sivic,J. Sivic,#32CD32,1
Francis Bach,F. Bach,#32CD32,1
Ivan Laptev,I. Laptev,#32CD32,1
David Naccache,D. Naccache,#ffff00,0
Marc Pouzet,M. Pouzet,#00bfff,1
Timothy Bourke,T. Bourke,#00bfff,1
Albert Cohen,A. Cohen,#00bfff,1
Jacques Stern,J. Stern,#ffff00,0
Vincent Danos,V. Danos,#ffff00,1
Jérôme Feret,J. Feret,#ffff00,1
Georg Fuchsbauer,G. Fuchsbauer,#ffff00,0
Anne Bouillard,A. Bouillard,#00bfff,0
Francesco Nardelli,F. Nardelli,#00bfff,0
Xavier Rival,X. Rival,#00bfff,1
Francois Berenger,F. Berenger,#ffc0cb,1
Phong Nguyen,P. Nguyen,#32CD32,0
Zhentao Li,Z. Li,#32CD32,0
Stéphane Mallat,S. Mallat,#32CD32,0
François Baccelli,F. Baccelli,#00bfff,0
Alexandre d'Aspremont,A. d'Aspremont,#32CD32,1
Marc Lelarge,M. Lelarge,#ffff00,0
Damien Vergnaud,D. Vergnaud,#ffff00,1
David Pointcheval,D. Pointcheval,#ffff00,1
Céline Chevalier,C. Chevalier,#ffff00,1
Michel Abdalla,M. Abdalla,#ffff00,1
Hoeteck Wee,H. Wee,#ffff00,1
Claire Mathieu,C. Mathieu,#ffff00,1
Éric de Verdière,É. de Verdière,#ffff00,1
Gilles Wainrib,G. Wainrib,#32CD32,0
