name,abbrv,color,coauthored
Lane Hemaspaandra,L. Hemaspaandra,#32CD32,0
Jiebo Luo,J. Luo,#32CD32,1
Henry Kautz,H. Kautz,#32CD32,1
Daniel Gildea,D. Gildea,#32CD32,1
James Allen,J. Allen,#32CD32,1
Sreepathi Pai,S. Pai,#00bfff,0
Sandhya Dwarkadas,S. Dwarkadas,#00bfff,1
Kai Shen,K. Shen,#00bfff,1
Michael Scott,M. Scott,#00bfff,1
Chen Ding,C. Ding,#00bfff,1
Michael Huang,M. Huang,#00bfff,1
Daniel Stefankovic,D. Stefankovic,#ffff00,1
Thomas Howard,T. Howard,#ffc0cb,0
Joel Seiferas,J. Seiferas,#00bfff,1
John Criswell,J. Criswell,#00bfff,0
Muthuramakrishnan Venkitasubramaniam,M. Venkitasubramaniam,#ffff00,0
Mohammed Hoque,M. Hoque,#ffc0cb,0
Chenliang Xu,C. Xu,#32CD32,0
Yuhao Zhu,Y. Zhu,#00bfff,0
Engin Ipek,E. Ipek,#00bfff,0
Lenhart Schubert,L. Schubert,#32CD32,0
Ji Liu,J. Liu,#32CD32,0
